trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3494,False,"{'a': 0.01, 'e': 0.030326051040596946}",20,12,2.3443996024987617,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3495,False,"{'a': 0.01, 'e': 0.03029572498955635}",20,6,23.671403344295896,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3496,False,"{'a': 0.01, 'e': 0.030265429264566792}",30,10,35.310409357766936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3497,False,"{'a': 0.01, 'e': 0.030235163835302226}",30,7,38.87791269869078,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
3498,False,"{'a': 0.01, 'e': 0.030204928671466923}",20,6,11.145515517537824,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3499,False,"{'a': 0.01, 'e': 0.030174723742795458}",20,8,22.598391777315957,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3500,False,"{'a': 0.01, 'e': 0.030144549019052662}",20,14,13.009421199733897,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3501,False,"{'a': 0.01, 'e': 0.030114404470033607}",30,5,40.05042057206921,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
3502,False,"{'a': 0.01, 'e': 0.030084290065563575}",20,13,14.843589212539975,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3503,False,"{'a': 0.01, 'e': 0.03005420577549801}",20,12,13.382302273235558,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3504,False,"{'a': 0.01, 'e': 0.03002415156972251}",25,11,21.400409250948066,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3505,False,"{'a': 0.01, 'e': 0.02999412741815279}",20,6,27.77458765036142,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3506,False,"{'a': 0.01, 'e': 0.029964133290734638}",20,12,16.56576587435278,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3507,False,"{'a': 0.01, 'e': 0.0299341691574439}",25,14,18.729984114591726,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3508,False,"{'a': 0.01, 'e': 0.029904234988286458}",20,9,18.694523715842358,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3509,False,"{'a': 0.01, 'e': 0.02987433075329817}",30,24,11.336320416444835,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3510,False,"{'a': 0.01, 'e': 0.029844456422544872}",30,20,18.36258045115506,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3511,False,"{'a': 0.01, 'e': 0.02981461196612233}",20,9,9.835556326360562,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
3512,False,"{'a': 0.01, 'e': 0.029784797354156206}",25,14,22.41638251704952,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3513,False,"{'a': 0.01, 'e': 0.02975501255680205}",20,14,13.274637014880916,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3514,False,"{'a': 0.01, 'e': 0.029725257544245248}",20,8,21.446787867284534,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3515,False,"{'a': 0.01, 'e': 0.029695532286701003}",30,12,33.04301557660055,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3516,False,"{'a': 0.01, 'e': 0.029665836754414303}",20,12,14.225169315723507,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
